note_a_l_ecrit;longitude;nbre_eleves_segpa;nbre_eleves_ulis;effectifs_filles;effectifs_garcons
8.1;3.657790588229318;0;0;217;228
9.9;3.657790588229318;0;0;217;228
9.1;3.55778945950352;0;10;173;190
11.3;3.55778945950352;0;10;173;190
8.3;3.168440278617063;0;0;257;284
8.2;3.168440278617063;0;0;257;284
8.0;3.045949585843362;46;13;127;134
8.1;3.045949585843362;46;13;127;134
6.7;3.2378495967709715;0;0;141;151
9.5;3.2378495967709715;0;0;141;151
8.8;3.2319219812883335;0;13;125;204
7.8;3.2319219812883335;0;13;125;204
9.2;2.7882000779325455;0;0;216;223
9.4;2.7882000779325455;0;0;216;223
7.4;1.6185600819517356;37;0;195;176
8.3;1.6185600819517356;37;0;195;176
9.5;2.5555504164428298;56;15;238;297
11.4;2.5555504164428298;56;15;238;297
9.2;2.547420203520672;0;0;220;221
8.3;2.547420203520672;0;0;220;221
8.8;2.9759097447360388;0;0;259;226
10.5;2.9759097447360388;0;0;259;226
9.1;3.0163594766506727;0;0;137;163
9.6;3.0163594766506727;0;0;137;163
8.9;2.7557494341030004;62;0;344;319
9.8;2.7557494341030004;62;0;344;319
9.8;2.9319693624659204;0;0;191;171
10.5;2.9319693624659204;0;0;191;171
8.6;2.6625203622757074;53;21;329;342
9.8;2.6625203622757074;53;21;329;342
9.6;2.6823894284960037;0;0;166;153
9.5;2.6823894284960037;0;0;166;153
9.2;2.8643399654717037;59;12;234;269
8.6;2.8643399654717037;59;12;234;269
9.4;2.6627875409880235;0;0;206;176
9.5;2.6627875409880235;0;0;206;176
8.5;2.674553155197504;106;13;316;373
9.6;2.674553155197504;106;13;316;373
10.5;3.296807129148378;0;13;152;194
9.5;3.296807129148378;0;13;152;194
7.1;2.3756175710181275;56;14;330;323
10.3;2.3756175710181275;56;14;330;323
8.0;2.4949343604846885;46;11;287;314
7.0;2.4949343604846885;46;11;287;314
7.4;2.5188994447044384;53;0;325;365
8.6;2.5188994447044384;53;0;325;365
7.9;2.548589480395309;0;14;338;335
9.3;2.548589480395309;0;14;338;335
8.2;2.5341241196344164;65;0;343;374
7.0;2.5341241196344164;65;0;343;374
9.0;2.450522398367945;0;0;285;281
10.6;2.450522398367945;0;0;285;281
8.7;2.391703841222832;0;14;362;391
8.1;2.391703841222832;0;14;362;391
9.0;2.4005725759641154;0;0;301;317
11.0;2.4005725759641154;0;0;301;317
7.5;2.5604107693443665;0;12;319;378
9.2;2.5604107693443665;0;12;319;378
9.6;2.5780725817817616;55;0;329;367
9.5;2.5780725817817616;55;0;329;367
7.2;2.473696940728375;0;0;184;205
6.5;2.473696940728375;0;0;184;205
7.9;2.4533846258154264;0;13;248;280
9.3;2.4533846258154264;0;13;248;280
9.8;2.4017546727489063;0;14;250;270
8.2;2.4017546727489063;0;14;250;270
7.3;2.362944286139678;46;24;366;397
9.1;2.362944286139678;46;24;366;397
8.6;2.441411379667264;53;0;349;382
10.9;2.441411379667264;53;0;349;382
6.9;2.3523546266562696;0;0;275;265
9.3;2.3523546266562696;0;0;275;265
7.9;2.345992181917522;0;14;157;208
8.2;2.345992181917522;0;14;157;208
7.7;2.337342996675949;0;14;250;266
9.7;2.337342996675949;0;14;250;266
7.0;2.5199673191027494;52;0;346;343
8.2;2.5199673191027494;52;0;346;343
8.0;2.3886743234195436;55;0;357;402
7.7;2.3886743234195436;55;0;357;402
9.8;2.540472333783582;59;0;392;411
10.0;2.540472333783582;59;0;392;411
9.6;2.354999677462201;0;0;224;218
9.6;2.354999677462201;0;0;224;218
8.8;2.4057841110469402;0;0;270;198
9.4;2.4057841110469402;0;0;270;198
9.8;2.434551245936811;0;0;122;143
9.7;2.434551245936811;0;0;122;143
8.5;2.3970845455341996;0;13;258;254
9.1;2.3970845455341996;0;13;258;254
11.0;2.450007650514465;0;13;245;243
8.8;2.450007650514465;0;13;245;243
10.7;2.5495448859272365;52;0;358;375
10.2;2.5495448859272365;52;0;358;375
10.9;2.384525602087465;0;0;191;250
12.1;2.384525602087465;0;0;191;250
9.2;2.332815469011771;58;8;214;228
9.5;2.361979663421302;55;11;218;206
10.3;2.361979663421302;55;11;218;206
9.1;2.3962863020082996;0;0;227;240
10.3;2.3962863020082996;0;0;227;240
8.9;2.4111599096639362;51;9;263;277
8.4;2.4111599096639362;51;9;263;277
9.9;2.411192497090158;0;0;166;170
9.1;2.411192497090158;0;0;166;170
9.9;2.1459514411163925;62;13;349;383
8.2;2.1459514411163925;62;13;349;383
8.4;2.377886647688734;64;8;303;293
6.4;2.377886647688734;64;8;303;293
7.7;2.38437852101383;0;10;313;327
8.7;2.38437852101383;0;10;313;327
9.3;2.248434854545303;0;0;430;385
10.5;2.248434854545303;0;0;430;385
9.7;2.252485582024741;60;11;296;318
10.4;2.252485582024741;60;11;296;318
8.4;2.4183887198333407;0;11;359;393
7.3;2.4183887198333407;0;11;359;393
9.4;2.436258518561435;61;0;397;357
8.3;2.436258518561435;61;0;397;357
9.0;2.3682947133964083;0;0;191;212
7.1;2.3682947133964083;0;0;191;212
8.7;2.276999947399213;41;12;310;348
8.3;2.276999947399213;41;12;310;348
9.1;2.2879715131576686;0;12;364;342
10.0;2.2879715131576686;0;12;364;342
7.9;2.2058684840970253;0;11;235;245
8.9;2.2058684840970253;0;11;235;245
8.5;2.2228763890998566;0;9;174;183
8.1;2.2228763890998566;0;9;174;183
8.3;2.225034327264089;0;20;266;342
9.6;2.225034327264089;0;20;266;342
8.9;2.2137291402351877;0;12;240;272
8.0;2.2137291402351877;0;12;240;272
8.6;2.2043023803188175;0;12;352;345
9.7;2.2043023803188175;0;12;352;345
8.4;2.215217020041409;48;10;393;373
9.5;2.215217020041409;48;10;393;373
8.6;2.2234491656713344;0;13;249;312
7.9;2.2234491656713344;0;13;249;312
9.0;2.045904928129974;0;11;260;314
9.6;2.045904928129974;0;11;260;314
9.0;2.110612950522732;0;0;244;254
8.3;2.110612950522732;0;0;244;254
9.3;2.115240822356974;42;12;362;331
8.7;2.115240822356974;42;12;362;331
8.0;2.24227464617648;0;12;308;271
9.0;2.24227464617648;0;12;308;271
7.7;2.387060632393486;0;12;192;172
8.6;2.387060632393486;0;12;192;172
9.8;1.9551752883200186;0;13;243;280
9.8;1.9551752883200186;0;13;243;280
8.0;1.6917666190699951;0;0;168;150
6.7;1.6917666190699951;0;0;168;150
8.6;1.9492702670522102;48;0;289;302
9.7;1.9492702670522102;48;0;289;302
8.3;2.0265803546876593;43;11;219;232
9.6;2.0265803546876593;43;11;219;232
10.7;2.0272209979601326;0;12;210;229
11.3;2.0272209979601326;0;12;210;229
8.8;1.9946602827025648;0;0;323;307
7.5;1.9946602827025648;0;0;323;307
9.5;0.1585252300352849;0;0;224;237
9.9;0.1585252300352849;0;0;224;237
8.5;55.62768091608149;0;8;245;228
8.8;55.62768091608149;0;8;245;228
9.5;55.29652293008688;0;12;232;217
10.0;55.29652293008688;0;12;232;217
8.9;55.71872706153563;0;12;279;255
9.6;55.71872706153563;0;12;279;255
8.8;55.711358220557344;0;12;355;368
7.5;55.711358220557344;0;12;355;368
8.7;55.47650996498801;122;11;492;582
9.9;55.47650996498801;122;11;492;582
8.3;55.46870789253393;63;12;431;593
9.2;55.46870789253393;63;12;431;593
10.3;55.49644953313609;65;18;204;251
8.4;55.49644953313609;65;18;204;251
8.7;55.41464365979838;0;11;378;385
10.0;55.41464365979838;0;11;378;385
9.3;55.28107881106315;127;12;411;513
12.4;55.28107881106315;127;12;411;513
6.5;-61.04298971619976;0;26;206;185
7.0;-61.04298971619976;0;26;206;185
10.0;-60.8377396567457;0;0;187;155
9.2;-60.8377396567457;0;0;187;155
7.2;45.09097634591245;65;0;340;334
8.6;45.09097634591245;65;0;340;334
7.2;45.1100960158229;0;13;322;358
6.3;45.1100960158229;0;13;322;358
5.9;45.20250756941683;91;12;945;909
5.6;45.20250756941683;91;12;945;909
5.5;45.20577099537141;0;1;875;872
5.3;45.20577099537141;0;1;875;872
5.6;45.22434257523247;0;11;713;706
5.9;45.22434257523247;0;11;713;706
8.7;-0.33301993990372764;0;15;132;137
9.6;-0.33301993990372764;0;15;132;137
8.8;-1.6298799572344473;48;0;172;153
10.7;-1.6298799572344473;48;0;172;153
10.8;-1.2171494143847557;35;13;180;196
12.1;-1.2171494143847557;35;13;180;196
11.3;-0.5700803651327394;55;13;184;222
9.2;-0.5700803651327394;55;13;184;222
8.6;1.1743405373788414;0;12;220;231
9.8;1.1743405373788414;0;12;220;231
9.1;1.4435802528746382;0;12;264;257
9.7;1.4435802528746382;0;12;264;257
9.4;1.4955204950162229;61;0;270;279
9.2;1.4955204950162229;61;0;270;279
8.2;1.0683605599484782;48;13;187;205
10.1;1.0683605599484782;48;13;187;205
10.5;0.10521875005897947;0;12;166;208
9.3;0.10521875005897947;0;12;166;208
11.0;1.1314851846279557;0;12;93;94
8.4;1.1314851846279557;0;12;93;94
9.6;1.1010069913550966;62;12;185;211
11.1;1.1010069913550966;62;12;185;211
10.1;1.0852871688663643;0;0;205;202
8.6;1.0852871688663643;0;0;205;202
10.3;1.088140250087253;0;0;187;210
10.6;1.088140250087253;0;0;187;210
10.9;0.488863214866513;0;14;266;274
9.3;0.488863214866513;0;14;266;274
9.1;0.46965241109631145;54;14;260;268
9.9;0.46965241109631145;54;14;260;268
11.1;0.1338215970726345;0;0;87;79
9.4;0.1338215970726345;0;0;87;79
11.0;-0.5967387196056518;61;16;264;327
12.0;-0.5967387196056518;61;16;264;327
10.8;-0.6510234523453694;0;0;282;224
10.7;-0.6510234523453694;0;0;282;224
8.6;0.006284300005722992;0;0;43;62
9.8;0.5989167291248232;0;0;153;185
9.9;0.5989167291248232;0;0;153;185
10.5;0.7186121281736652;0;10;257;316
9.9;0.7186121281736652;0;10;257;316
10.6;1.272164068477409;64;12;363;404
11.0;1.272164068477409;64;12;363;404
8.0;0.12847421626497582;0;0;113;93
7.2;0.12847421626497582;0;0;113;93
10.0;0.09397016567471343;0;0;318;317
10.5;0.09397016567471343;0;0;318;317
10.4;0.5835977291706322;0;0;109;94
11.6;-1.1165800235315764;0;11;288;291
12.0;-1.1165800235315764;0;11;288;291
10.4;2.3489003077811836;0;29;282;265
11.2;2.3489003077811836;0;29;282;265
9.2;3.0061500163371266;73;29;374;390
9.0;3.0061500163371266;73;29;374;390
8.7;3.000819794519885;59;0;331;361
9.7;3.000819794519885;59;0;331;361
9.8;3.0187296795732736;54;27;259;262
9.7;3.0187296795732736;54;27;259;262
12.4;3.9838104563348335;0;0;253;228
10.7;3.9838104563348335;0;0;253;228
10.4;4.616229962459126;0;25;301;280
11.1;4.616229962459126;0;25;301;280
8.6;4.342960542049971;0;12;259;248
7.0;4.342960542049971;0;12;259;248
11.2;4.355359648642355;0;14;240;239
13.1;4.355359648642355;0;14;240;239
10.8;4.391109100659875;61;10;209;247
10.5;4.391109100659875;61;10;209;247
8.9;4.384729621593309;63;12;315;291
9.4;4.384729621593309;63;12;315;291
7.1;3.221770488548698;60;10;294;334
